recipe_id,title,date,desc,rating,calories,sodium,fat,protein
1,"Lentil, Apple, and Turkey Wrap ",2006-09-01T04:00:00.000Z,NA,2.5,426,559,7,30
2,Boudin Blanc Terrine with Red Onion Confit ,2004-08-20T04:00:00.000Z,"This uses the same ingredients found in boudin blanc, the classic French white sausage. Start two days before serving.",4.375,403,1439,23,18
3,Potato and Fennel Soup Hodge ,2004-08-20T04:00:00.000Z,NA,3.75,165,165,7,6
4,Mahi-Mahi in Tomato Olive Sauce ,2009-03-27T04:00:00.000Z,"The Sicilian-style tomato sauce has tons of Mediterranean flavor, thanks to the orange peel, olives, and oregano.",5,NA,NA,NA,NA
5,Spinach Noodle Casserole ,2004-08-20T04:00:00.000Z,NA,3.125,547,452,32,20
6,The Best Blts ,2004-08-20T04:00:00.000Z,This recipe can be prepared in 45 minutes or less.,4.375,948,1042,79,19
7,Ham and Spring Vegetable Salad with Shallot Vinaigrette ,2004-08-20T04:00:00.000Z,"Serve this newfangled main-course salad with a crisp flatbread, such as lavash, and white wine or rosé spritzers.",4.375,NA,NA,NA,NA
8,Spicy-Sweet Kumquats ,2004-08-20T04:00:00.000Z,Pop one of these in your mouth for a burst of bittersweet flavor.,3.75,NA,NA,NA,NA
9,Korean Marinated Beef ,2004-08-20T04:00:00.000Z,Bulgogi,4.375,170,1272,10,7
10,Ham Persillade with Mustard Potato Salad and Mashed Peas ,2008-10-23T22:24:26.000Z,"Transform your picnic into un pique-nique to remember with this elegant arrangement of tangy potato salad, peas gently mashed with marjoram, and salty ham softly set in parsleyed gelatin.",3.75,602,1696,41,23
11,"Yams Braised with Cream, Rosemary and Nutmeg ",2004-08-20T04:00:00.000Z,Simmering the yams fills them with flavor and yields a lovely coating.,3.75,256,30,5,4
12,Spicy Noodle Soup ,2004-08-20T04:00:00.000Z,(Tony Tan's Laksa Lemak),4.375,NA,NA,NA,NA
13,Banana-Chocolate Chip Cake With Peanut Butter Frosting ,2012-09-18T04:00:00.000Z,"This cake is perfect for beginners—it's moist, forgiving, and easy. Jif creamy peanut butter is our favorite for the decadent frosting.",4.375,766,439,48,12
14,Beef Tenderloin with Garlic and Brandy ,2004-08-20T04:00:00.000Z,This recipe can be prepared in 45 minutes or less.,4.375,174,176,12,11
15,Peach Mustard ,2014-06-17T04:00:00.000Z,Where a chutney and mustard sauce overlap. Choose a very ripe– even bruised–peach for easy peeling.,3.125,134,1394,3,4
16,Raw Cream of Spinach Soup ,2004-08-20T04:00:00.000Z,"This uncooked soup isn't for the timid — raw garlic, ginger, and shallot impart strong flavors. Unless you can get freshly made vegetable juice from your local juice bar, you will need an electric juicer to make the tomato or carrot juice.",4.375,382,977,31,5
17,Sweet Buttermilk Spoon Breads ,2008-12-04T04:00:00.000Z,"Classic spoon bread is a savory pudding served as a side dish. In this dessert version, the slightly sweetened batter is baked in individual ramekins, then topped with strawberry preserves.",1.875,146,160,5,4
18,Crisp Braised Pork Shoulder ,2007-02-14T21:13:14.000Z,"Pork all over Denmark is hauntingly tender. Ruggiero was particularly taken with the pork belly she tasted at the restaurant Gammel Mønt—crisp, but succulent and rich. To re-create these qualities, Ruggiero devised a version that requires minimal effort but promises stunning results: Pork shoulder is braised first, until it's super tender, and then flash-seared for a golden crust. The aroma alone will convince you that this unorthodox technique is entirely worthwhile.",4.375,890,1027,68,59
19,Mozzarella-Topped Peppers with Tomatoes and Garlic ,2004-08-20T04:00:00.000Z,NA,5,107,344,7,5
20,"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",2009-03-04T04:00:00.000Z,"A springy take on Niçoise salad, with radishes and asparagus in place of tomatoes and haricots verts.",5,421,383,33,10
21,Asian Pear and Watercress Salad with Sesame Dressing ,2004-08-20T04:00:00.000Z,Active time: 20 min Start to finish: 20 min,4.375,345,423,19,11
22,"""Fried"" Chicken ",2006-05-16T20:10:20.000Z,"Nashville: Try the ""fried"" chicken, y'all. Southern hospitality wouldn't be quite so hospitable without corn bread, collard greens, and, of course, fried chicken. If you haven't already guessed that grease is what's so ""finger-lickin' good,"" we'll let you in on a secret: You can spend nearly half a day's calories on one thigh of this Southern-fried favorite. So make our baked version instead.",3.75,NA,NA,NA,NA
23,Fish Fillets in Parchment with Asparagus and Orange ,2008-02-27T21:40:23.000Z,"In this delicately flavored main course, the asparagus steams along with the fish in individual paper packets.",3.75,NA,NA,NA,NA
24,Pancetta and Taleggio Lasagna with Treviso ,2009-11-02T04:00:00.000Z,NA,3.75,NA,NA,NA,NA
25,Sea Salt-Roasted Pecans ,2007-01-18T04:25:29.000Z,NA,3.75,279,206,30,3
26,Garlic Baguette Crumbs ,2004-08-20T04:00:00.000Z,NA,0,95,103,7,1
27,Cucumber-Basil Egg Salad ,2011-03-31T04:00:00.000Z,"The glories of summer are captured in this pale green egg salad redolent of fresh basil, green onions, and crunchy cucumbers. Serve it surrounded by greens or tucked into pita loaves or slices of crusty bread for a satisfying lunch.",3.75,215,250,20,6
28,Dried Pear Crisps ,2007-07-26T17:36:37.000Z,"Use a V-slicer (a simple, inexpensive version of a mandoline available at cookware stores) for the paper-thin pear slices.",2.5,14,0,0,0
29,"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",2004-08-20T04:00:00.000Z,NA,4.375,351,79,19,6
30,Apricot-Cherry Shortcakes ,2004-08-20T04:00:00.000Z,Here's a terrific light version of an American summer classic.,4.375,311,226,5,5
31,Asian Steak Topped with Bell Pepper Stir-Fry ,2008-09-29T04:00:00.000Z,A steakhouse take on Thai beef with peppers. Serve with steamed rice.,4.375,NA,NA,NA,NA
32,Moroccan-Style Preserved Lemons ,2008-04-16T21:03:11.000Z,"Preserved lemons are perhaps most at home in Moroccan dishes, but we love their complex, bright flavor and aroma in all kinds of soups, stews, and salads. We've adapted Mediterranean-food authority Paula Wolfert's quick method and made it even faster by blanching the lemons first. If you manage to find Meyer lemons, this is a great way to capture their unforgettable taste and perfume.",5,NA,NA,NA,NA
33,Roasted Sweet-Potato Spears with Bacon Vinaigrette ,2006-10-19T04:19:58.000Z,"Don't be surprised if these spears prove even more popular than the classic mash—they brown up beautifully, and it's hard to resist the siren call of bacon.",4.375,376,604,18,7
34,Deviled Ham ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,3.125,185,765,13,10
35,Fontina Mac with Squash and Sage ,2013-11-13T04:00:00.000Z,"""Creamy squash and cheese crisps only make you think you're off the diet cliff!"" says James Beard award winner Laura Werlin, author of Mac & Cheese, Please! and The All American Cheese and Wine Book.",5,NA,NA,NA,NA
36,Aztec Chicken ,2004-08-20T04:00:00.000Z,NA,3.75,625,1248,44,39
37,Pastry Twists with Spiced Sugar-Honey Glaze ,2010-04-06T04:00:00.000Z,"Donatella still remembers the lure of these addictive sweets. ""I always got in trouble with my aunt because I would sneak into the kitchen and steal them,"" she says. Frying the dough in extra-virgin olive oil adds an authentic flavor. You'll need about five cups of oil for frying.",0,NA,NA,NA,NA
